"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","Sample..","date","finalcon.cp.L","QualityCheck"
"Salmonella-lw1-7-hwu","M01KC222500228","","Average",20473.44,60.14,435,NA,NA,"   NA","Pass"
"Salmonella-lw1-7-hwu","M01KC222500228","lw1","A1",20465,0,0,"LCMB 4",2022-06-27,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw1","B1",20477,0,0,"LCMB 4",2022-06-27,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw2","C1",20470,0,0,"G-PC 4",2022-07-26,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw2","D1",20465,0,0,"G-PC 4",2022-07-26,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw3","A2",20477,0,0,"LCMB 4",2022-07-26,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw3","B2",20478,0,0,"LCMB 4",2022-07-26,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw4","C2",20478,0,0,"G-PC 2",2022-08-30,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw4","D2",20474,0,0,"G-PC 2",2022-08-30,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw5","A3",20474,0,0,"G-PC 4",2022-08-30,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw5","B3",20472,0,0,"G-PC 4",2022-08-30,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw6","C3",20476,0,0,"G-PC 2",2022-09-26,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw6","D3",20473,0,0,"G-PC 2",2022-09-26,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw7","A4",20476,0,0,"G-PC 4",2022-09-26,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","lw7","B4",20478,0,0,"G-PC 4",2022-09-26,"0e+00","Fail"
"Salmonella-lw1-7-hwu","M01KC222500228","POS","C4",20469,962.28,6962,NA,NA,"   NA","Pass"
"Salmonella-lw1-7-hwu","M01KC222500228","NTC","D4",20473,0,0,NA,NA,"   NA","Fail"
