"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","Sample..","date","finalcon.cp.L","QualityCheck"
"Stx2-lw1-lw7-hwu","M01KC222500227","","Average",20473.07,96.54,635,NA,NA,"   NA","Pass"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw1","A1",20470,0,0,"LCMB 4",2022-06-27,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw1","B1",20475,0,0,"LCMB 4",2022-06-27,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw2","C1",20474,0,0,"G-PC 4",2022-07-26,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw2","D1",20470,0,0,"G-PC 4",2022-07-26,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw3","A2",NA,NA,NA,"LCMB 4",2022-07-26,"  NaN",NA
"Stx2-lw1-lw7-hwu","M01KC222500227","lw3","B2",20475,0,0,"LCMB 4",2022-07-26,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw4","C2",20472,0,0,"G-PC 2",2022-08-30,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw4","D2",20475,0,0,"G-PC 2",2022-08-30,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw5","A3",20471,0,0,"G-PC 4",2022-08-30,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw5","B3",20477,0,0,"G-PC 4",2022-08-30,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw6","C3",20475,0,0,"G-PC 2",2022-09-26,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw6","D3",20471,0,0,"G-PC 2",2022-09-26,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw7","A4",20467,0,0,"G-PC 4",2022-09-26,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw7","B4",20478,0,0,"G-PC 4",2022-09-26,"0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","POS","C4",20475,1448.13,9522,NA,NA,"   NA","Pass"
"Stx2-lw1-lw7-hwu","M01KC222500227","NTC","D4",20471,0,0,NA,NA,"   NA","Fail"
