"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","Sample..","date","finalcon.cp.L","QualityCheck"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","","Average",20464.94,262.11,1977,NA,NA,"          NA","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw1","A1",20451,5.78,51,"LCMB 4",2022-06-27,"1.263848e+05","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw1","B1",20475,6.34,56,"LCMB 4",2022-06-27,"1.386297e+05","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw2","C1",20476,79.7,693,"G-PC 4",2022-07-26,"6.133376e+06","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw2","D1",20423,76.98,668,"G-PC 4",2022-07-26,"5.924056e+06","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw3","A2",20470,0.34,3,"LCMB 4",2022-07-26,"8.177843e+03","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw3","B2",20475,0.45,4,"LCMB 4",2022-07-26,"1.082362e+04","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw4","C2",20475,242.32,2035,"G-PC 2",2022-08-30,"2.626128e+07","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw4","D2",20467,249.21,2089,"G-PC 2",2022-08-30,"2.700798e+07","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw5","A3",20474,904.46,6622,"G-PC 4",2022-08-30,"1.836467e+07","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw5","B3",20477,924.1,6740,"G-PC 4",2022-08-30,"1.876345e+07","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw6","C3",20472,181.64,1545,"G-PC 2",2022-09-26,"6.028456e+06","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw6","D3",20468,181.92,1547,"G-PC 2",2022-09-26,"6.037749e+06","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw7","A4",20472,78.31,681,"G-PC 4",2022-09-26,"1.630287e+06","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","lw7","B4",20425,82.37,714,"G-PC 4",2022-09-26,"1.714810e+06","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","POS","C4",20475,1179.83,8176,NA,NA,"          NA","Pass"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","M01KC222500226","NTC","D4",20464,0,0,NA,NA,"          NA","Fail"
