"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","Sample..","date","finalcon.cp.L","QualityCheck"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","","Average",20473.88,59.68,433,NA,NA,"          NA","Pass"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw1","A1",20480,0,0,"LCMB 4",2022-06-27,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw1","B1",20480,0,0,"LCMB 4",2022-06-27,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw2","C1",20480,0,0,"G-PC 4",2022-07-26,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw2","D1",20470,0,0,"G-PC 4",2022-07-26,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw3","A2",20480,0,0,"LCMB 4",2022-07-26,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw3","B2",20479,0,0,"LCMB 4",2022-07-26,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw4","C2",20480,0,0,"G-PC 2",2022-08-30,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw4","D2",20469,0,0,"G-PC 2",2022-08-30,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw5","A3",20480,0,0,"G-PC 4",2022-08-30,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw5","B3",20479,0,0,"G-PC 4",2022-08-30,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw6","C3",20478,0.9,8,"G-PC 2",2022-09-26,"2.987013e+03","Pass"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw6","D3",20463,0.57,5,"G-PC 2",2022-09-26,"1.891775e+03","Pass"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw7","A4",20455,0,0,"G-PC 4",2022-09-26,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw7","B4",20480,0,0,"G-PC 4",2022-09-26,"0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","POS","C4",20465,953.44,6909,NA,NA,"          NA","Pass"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","NTC","D4",20464,0,0,NA,NA,"          NA","Fail"
