"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","Sample..","date","finalcon.cp.L","QualityCheck"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","","Average",20473.88,59.68,433,NA,NA,"          NA","Pass"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw1","A1",20480,0,0,"LCMB 4","2022-06-27","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw1","B1",20480,0,0,"LCMB 4","2022-06-27","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw2","C1",20480,0,0,"G-PC 4","2022-07-26","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw2","D1",20470,0,0,"G-PC 4","2022-07-26","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw3","A2",20480,0,0,"LCMB 4","2022-07-26","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw3","B2",20479,0,0,"LCMB 4","2022-07-26","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw4","C2",20480,0,0,"G-PC 2","2022-08-30","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw4","D2",20469,0,0,"G-PC 2","2022-08-30","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw5","A3",20480,0,0,"G-PC 4","2022-08-30","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw5","B3",20479,0,0,"G-PC 4","2022-08-30","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw6","C3",20478,0.9,8,"G-PC 2","2022-09-26","2.987013e+03","Pass"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw6","D3",20463,0.57,5,"G-PC 2","2022-09-26","1.891775e+03","Pass"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw7","A4",20455,0,0,"G-PC 4","2022-09-26","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","lw7","B4",20480,0,0,"G-PC 4","2022-09-26","0.000000e+00","Fail"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","POS","C4",20465,953.44,6909,NA,NA,"          NA","Pass"
"Enterovirus-lw1-lw7-hwu","M01KF226900431","NTC","D4",20464,0,0,NA,NA,"          NA","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","","Average",20475.81,65.54,468,NA,NA,"          NA","Pass"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw1","A1",20480,0,0,"LCMB 4","2022-06-27","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw1","B1",20480,0,0,"LCMB 4","2022-06-27","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw2","C1",20477,0,0,"G-PC 4","2022-07-26","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw2","D1",20469,0,0,"G-PC 4","2022-07-26","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw3","A2",20479,0,0,"LCMB 4","2022-07-26","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw3","B2",20480,0,0,"LCMB 4","2022-07-26","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw4","C2",20478,0,0,"G-PC 2","2022-08-30","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw4","D2",20472,0,0,"G-PC 2","2022-08-30","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw5","A3",20479,0,0,"G-PC 4","2022-08-30","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw5","B3",20480,0,0,"G-PC 4","2022-08-30","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw6","C3",20480,2.04,18,"G-PC 2","2022-09-26","6.770563e+03","Pass"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw6","D3",20472,4.75,42,"G-PC 2","2022-09-26","1.576479e+04","Pass"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw7","A4",20475,0,0,"G-PC 4","2022-09-26","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","lw7","B4",20465,0,0,"G-PC 4","2022-09-26","0.000000e+00","Fail"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","POS","C4",20480,1041.78,7422,NA,NA,"          NA","Pass"
"Norovirus.LW1toLW7.17Nov22.KB.raw","M01KF226900435","NTC","D4",20467,0,0,NA,NA,"          NA","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","","Average",20445.93,9.46,81,NA,NA,"   NA","Pass"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw1","A1",20475,0,0,"LCMB 4","2022-06-27","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw1","B1",20353,0,0,"LCMB 4","2022-06-27","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw2","C1",20475,0,0,"G-PC 4","2022-07-26","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw2","D1",20436,0,0,"G-PC 4","2022-07-26","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw3","A2",20467,0,0,"LCMB 4","2022-07-26","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw3","B2",20468,0,0,"LCMB 4","2022-07-26","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw4","C2",20478,0,0,"G-PC 2","2022-08-30","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw4","D2",20393,0,0,"G-PC 2","2022-08-30","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw5","A3",20399,0,0,"G-PC 4","2022-08-30","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw5","B3",NA,NA,NA,"G-PC 4","2022-08-30","  NaN",NA
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw6","C3",20475,0,0,"G-PC 2","2022-09-26","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw6","D3",20440,0,0,"G-PC 2","2022-09-26","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw7","A4",NA,NA,NA,"G-PC 4","2022-09-26","  NaN",NA
"HAdV-JTX-lw1-7-hwu","M01KC222500231","lw7","B4",20473,0,0,"G-PC 4","2022-09-26","0e+00","Fail"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","POS","C4",20475,132.37,1138,NA,NA,"   NA","Pass"
"HAdV-JTX-lw1-7-hwu","M01KC222500231","NTC","D4",20436,0,0,NA,NA,"   NA","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","","Average",20473.93,73.19,516,NA,NA,"   NA","Pass"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw1","A1",20464,0,0,"LCMB 4","2022-06-27","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw1","B1",20473,0,0,"LCMB 4","2022-06-27","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw2","C1",20475,0,0,"G-PC 4","2022-07-26","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw2","D1",20457,0,0,"G-PC 4","2022-07-26","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw3","A2",20476,0,0,"LCMB 4","2022-07-26","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw3","B2",20480,0,0,"LCMB 4","2022-07-26","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw4","C2",20480,0,0,"G-PC 2","2022-08-30","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw4","D2",20476,0,0,"G-PC 2","2022-08-30","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw5","A3",20480,0,0,"G-PC 4","2022-08-30","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw5","B3",20474,0,0,"G-PC 4","2022-08-30","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw6","C3",20474,0,0,"G-PC 2","2022-09-26","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw6","D3",20473,0,0,"G-PC 2","2022-09-26","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw7","A4",20473,0,0,"G-PC 4","2022-09-26","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","lw7","B4",20478,0,0,"G-PC 4","2022-09-26","0e+00","Fail"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","POS","C4",20476,1097.85,7733,NA,NA,"   NA","Pass"
"MS2.Lw1toLw7.18Nov22.FC.raw","M01KC222500230","NTC","D4",NA,NA,NA,NA,NA,"   NA",NA
"Stx2-lw1-lw7-hwu","M01KC222500227","","Average",20473.07,96.54,635,NA,NA,"   NA","Pass"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw1","A1",20470,0,0,"LCMB 4","2022-06-27","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw1","B1",20475,0,0,"LCMB 4","2022-06-27","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw2","C1",20474,0,0,"G-PC 4","2022-07-26","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw2","D1",20470,0,0,"G-PC 4","2022-07-26","0e+00","Fail"
"Stx2-lw1-lw7-hwu","M01KC222500227","lw3","A2",NA,NA,NA,"LCMB 4","2022-07-26","  NaN",NA
