"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1 (16)","","Average","20464.94","FAM","Target 1","262.11","368.86","140.73","2.87","1977"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw1","A1","20451","FAM","Target 1","5.78","","","1.39","51"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw1","B1","20475","FAM","Target 1","6.34","","","1.46","56"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw2","C1","20476","FAM","Target 1","79.70","","","5.72","693"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw2","D1","20423","FAM","Target 1","76.98","","","5.62","668"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw3","A2","20470","FAM","Target 1","0.34","","","0.23","3"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw3","B2","20475","FAM","Target 1","0.45","","","0.28","4"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw4","C2","20475","FAM","Target 1","242.32","","","10.31","2035"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw4","D2","20467","FAM","Target 1","249.21","","","10.47","2089"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw5","A3","20474","FAM","Target 1","904.46","","","21.66","6622"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw5","B3","20477","FAM","Target 1","924.10","","","21.94","6740"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw6","C3","20472","FAM","Target 1","181.64","","","8.84","1545"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw6","D3","20468","FAM","Target 1","181.92","","","8.85","1547"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw7","A4","20472","FAM","Target 1","78.31","","","5.67","681"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","lw7","B4","20425","FAM","Target 1","82.37","","","5.83","714"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","POS","C4","20475","FAM","Target 1","1179.83","","","25.57","8176"
"Crassphage56.17Nov22.Lw1toLw7.kb.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500226","Group 1","NTC","D4","20464","FAM","Target 1","0","","","0","0"
