"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","","Average","20474.06","VIC","Target 1","59.65","230.64","386.66","1.40","432"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw1","A1","20480","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw1","B1","20480","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw2","C1","20480","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw2","D1","20470","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw3","A2","20480","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw3","B2","20479","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw4","C2","20480","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw4","D2","20469","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw5","A3","20480","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw5","B3","20479","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw6","C3","20479","VIC","Target 1","0.90","","","0.45","8"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw6","D3","20465","VIC","Target 1","0.57","","","0.33","5"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw7","A4","20455","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","lw7","B4","20480","VIC","Target 1","0","","","0","0"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","POS","C4","20465","VIC","Target 1","952.93","","","22.37","6906"
"Enterovirus-lw1-lw7-hwu","11/18/2022","Absolute Q YYMM0023","M01KF226900431","Group 1","NTC","D4","20464","VIC","Target 1","0","","","0","0"
