"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1 (16)","","Average","20445.93","FAM","Target 1","9.46","34.09","360.56","0.47","81"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw1","A1","20475","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw1","B1","20353","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw2","C1","20475","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw2","D1","20436","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw3","A2","20467","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw3","B2","20468","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw4","C2","20478","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw4","D2","20393","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw5","A3","20399","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw5","B3","NaN","FAM","Target 1","NaN","","","NaN",""
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw6","C3","20475","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw6","D3","20440","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw7","A4","NaN","FAM","Target 1","NaN","","","NaN",""
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","lw7","B4","20473","FAM","Target 1","0","","","0","0"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","POS","C4","20475","FAM","Target 1","132.37","","","7.47","1138"
"HAdV-JTX-lw1-7-hwu","11/18/2022","Absolute Q YYMM0023","M01KC222500231","Group 1","NTC","D4","20436","FAM","Target 1","0","","","0","0"
