"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1 (16)","","Average","20473.93","FAM","Target 1","73.19","273.85","374.17","1.53","516"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw1","A1","20464","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw1","B1","20473","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw2","C1","20475","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw2","D1","20457","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw3","A2","20476","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw3","B2","20480","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw4","C2","20480","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw4","D2","20476","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw5","A3","20480","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw5","B3","20474","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw6","C3","20474","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw6","D3","20473","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw7","A4","20473","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","lw7","B4","20478","FAM","Target 1","0","","","0","0"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","POS","C4","20476","FAM","Target 1","1097.85","","","24.42","7733"
"MS2.Lw1toLw7.18Nov22.FC.raw","11/18/2022","Absolute Q YYMM0023","M01KC222500230","Group 1","NTC","D4","NaN","FAM","Target 1","NaN","","","NaN",""
