"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1 (16)","","Average","20475.81","FAM","Target 1","65.54","252.07","384.63","1.48","468"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw1","A1","20480","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw1","B1","20480","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw2","C1","20477","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw2","D1","20469","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw3","A2","20479","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw3","B2","20480","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw4","C2","20478","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw4","D2","20472","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw5","A3","20479","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw5","B3","20480","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw6","C3","20480","FAM","Target 1","2.04","","","0.75","18"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw6","D3","20472","FAM","Target 1","4.75","","","1.24","42"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw7","A4","20475","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","lw7","B4","20465","FAM","Target 1","0","","","0","0"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","POS","C4","20480","FAM","Target 1","1041.78","","","23.63","7422"
"Norovirus.LW1toLW7.17Nov22.KB.raw","11/17/2022","Absolute Q YYMM0023","M01KF226900435","Group 1","NTC","D4","20467","FAM","Target 1","0","","","0","0"
