"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1 (16)","","Average","20473.44","FAM","Target 1","60.14","232.93","387.30","1.41","435"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw1","A1","20465","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw1","B1","20477","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw2","C1","20470","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw2","D1","20465","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw3","A2","20477","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw3","B2","20478","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw4","C2","20478","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw4","D2","20474","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw5","A3","20474","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw5","B3","20472","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw6","C3","20476","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw6","D3","20473","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw7","A4","20476","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","lw7","B4","20478","FAM","Target 1","0","","","0","0"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","POS","C4","20469","FAM","Target 1","962.28","","","22.50","6962"
"Salmonella-lw1-7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500228","Group 1","NTC","D4","20473","FAM","Target 1","0","","","0","0"
