"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1 (16)","","Average","20473.07","FAM","Target 1","96.54","361.23","374.17","1.83","635"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw1","A1","20470","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw1","B1","20475","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw2","C1","20474","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw2","D1","20470","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw3","A2","NaN","FAM","Target 1","NaN","","","NaN",""
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw3","B2","20475","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw4","C2","20472","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw4","D2","20475","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw5","A3","20471","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw5","B3","20477","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw6","C3","20475","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw6","D3","20471","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw7","A4","20467","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","lw7","B4","20478","FAM","Target 1","0","","","0","0"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","POS","C4","20475","FAM","Target 1","1448.13","","","29.26","9522"
"Stx2-lw1-lw7-hwu","11/19/2022","Absolute Q YYMM0023","M01KC222500227","Group 1","NTC","D4","20471","FAM","Target 1","0","","","0","0"
