"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","finalcon.cp.L","QualityCheck"
"Crassphage56-m1-m7-hwu","M01KC222500166","","Average",20475.75,925.81,6477,"          NA","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m1","A1",20479,713.78,5434,"3.262994e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m1","B1",20469,766.19,5768,"3.502583e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m2","C1",20479,1071.28,7587,"4.897280e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m2","D1",20474,1034.37,7378,"4.728549e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m3","A2",20471,1410.57,9341,"6.448320e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m3","B2",20473,1455.52,9556,"6.653806e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m4","C2",20477,1514.16,9831,"6.921874e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m4","D2",20474,1460.52,9580,"6.676663e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m5","A3",20470,793.87,5943,"3.629120e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m5","B3",20480,768.23,5784,"3.511909e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m6","C3",20479,587.73,4592,"2.686766e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m6","D3",20478,586.45,4583,"2.680914e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m7","A4",20478,1272.32,8659,"5.816320e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","m7","B4",20479,1264.61,8620,"5.781074e+06","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","POS","C4",20477,113.29,978,"          NA","Pass"
"Crassphage56-m1-m7-hwu","M01KC222500166","NTC","D4",20475,0,0,"          NA","Fail"
