"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","finalcon.cp.L","QualityCheck"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","","Average",20474.94,9.57,83,"          NA","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m1","A1",20474,0.45,4,"2.057143e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m1","B1",20476,0.9,8,"4.114286e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m2","C1",20478,0.45,4,"2.057143e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m2","D1",20476,0.34,3,"1.554286e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m3","A2",20473,3.73,33,"1.705143e+04","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m3","B2",20476,3.96,35,"1.810286e+04","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m4","C2",20479,1.92,17,"8.777143e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m4","D2",20470,1.81,16,"8.274286e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m5","A3",20471,0.57,5,"2.605714e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m5","B3",20479,0.68,6,"3.108571e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m6","C3",20476,1.92,17,"8.777143e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m6","D3",20473,1.02,9,"4.662857e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m7","A4",20471,1.36,12,"6.217143e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","m7","B4",20480,1.7,15,"7.771429e+03","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","POS","C4",20475,132.25,1137,"          NA","Pass"
"HAdV-JTX-m1-m7-hwu","M01KC222500224","NTC","D4",20472,0,0,"          NA","Fail"
