"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","finalcon.cp.L","QualityCheck"
"MS2-m1-m7-hwu","M01KC222500204","","Average",20475.54,80.08,571,"          NA","Pass"
"MS2-m1-m7-hwu","M01KC222500204","m1","A1",20474,0,0,"0.000000e+00","Fail"
"MS2-m1-m7-hwu","M01KC222500204","m1","B1",20480,0,0,"0.000000e+00","Fail"
"MS2-m1-m7-hwu","M01KC222500204","m2","C1",20478,0,0,"0.000000e+00","Fail"
"MS2-m1-m7-hwu","M01KC222500204","m2","D1",20469,0,0,"0.000000e+00","Fail"
"MS2-m1-m7-hwu","M01KC222500204","m3","A2",NA,NA,NA,"         NaN",NA
"MS2-m1-m7-hwu","M01KC222500204","m3","B2",20480,0,0,"0.000000e+00","Fail"
"MS2-m1-m7-hwu","M01KC222500204","m4","C2",20479,0,0,"0.000000e+00","Fail"
"MS2-m1-m7-hwu","M01KC222500204","m4","D2",20469,0,0,"0.000000e+00","Fail"
"MS2-m1-m7-hwu","M01KC222500204","m5","A3",NA,NA,NA,"         NaN",NA
"MS2-m1-m7-hwu","M01KC222500204","m5","B3",20480,0,0,"0.000000e+00","Fail"
"MS2-m1-m7-hwu","M01KC222500204","m6","C3",20480,0,0,"0.000000e+00","Fail"
"MS2-m1-m7-hwu","M01KC222500204","m6","D3",20469,0.11,1,"5.028571e+02","Fail"
"MS2-m1-m7-hwu","M01KC222500204","m7","A4",NA,NA,NA,"         NaN",NA
"MS2-m1-m7-hwu","M01KC222500204","m7","B4",20480,0,0,"0.000000e+00","Fail"
"MS2-m1-m7-hwu","M01KC222500204","POS","C4",20477,1040.91,7416,"          NA","Pass"
"MS2-m1-m7-hwu","M01KC222500204","NTC","D4",20467,0,0,"          NA","Fail"
