"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","finalcon.cp.L","QualityCheck"
"Salmonella","M01KC222500182","","Average",20468.69,63.62,456,"          NA","Pass"
"Salmonella","M01KC222500182","m1","A1",20477,0,0,"0.000000e+00","Fail"
"Salmonella","M01KC222500182","m1","B1",20458,0,0,"0.000000e+00","Fail"
"Salmonella","M01KC222500182","m2","C1",20477,0,0,"0.000000e+00","Fail"
"Salmonella","M01KC222500182","m2","D1",20441,0.11,1,"5.028571e+02","Fail"
"Salmonella","M01KC222500182","m3","A2",20477,0,0,"0.000000e+00","Fail"
"Salmonella","M01KC222500182","m3","B2",20472,0.11,1,"5.028571e+02","Fail"
"Salmonella","M01KC222500182","m4","C2",20477,0,0,"0.000000e+00","Fail"
"Salmonella","M01KC222500182","m4","D2",20447,0.11,1,"5.028571e+02","Fail"
"Salmonella","M01KC222500182","m5","A3",20473,0.34,3,"1.554286e+03","Pass"
"Salmonella","M01KC222500182","m5","B3",20478,0.34,3,"1.554286e+03","Pass"
"Salmonella","M01KC222500182","m6","C3",20472,0,0,"0.000000e+00","Fail"
"Salmonella","M01KC222500182","m6","D3",20468,0,0,"0.000000e+00","Fail"
"Salmonella","M01KC222500182","m7","A4",20451,0.11,1,"5.028571e+02","Fail"
"Salmonella","M01KC222500182","m7","B4",20475,0,0,"0.000000e+00","Fail"
"Salmonella","M01KC222500182","POS","C4",20479,1016.8,7280,"          NA","Pass"
"Salmonella","M01KC222500182","NTC","D4",20477,0,0,"          NA","Fail"
