"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","finalcon.cp.L","QualityCheck"
"Stx2-m1-m7-hwu","M01KC222500164","","Average",20471.19,92.22,603,"          NA","Pass"
"Stx2-m1-m7-hwu","M01KC222500164","m1","A1",20473,0,0,"0.000000e+00","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m1","B1",20467,0.11,1,"5.028571e+02","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m2","C1",20474,0,0,"0.000000e+00","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m2","D1",20474,0,0,"0.000000e+00","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m3","A2",20426,0.11,1,"5.028571e+02","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m3","B2",20474,0,0,"0.000000e+00","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m4","C2",20476,0,0,"0.000000e+00","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m4","D2",20470,0,0,"0.000000e+00","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m5","A3",20475,0.23,2,"1.051429e+03","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m5","B3",20477,0.11,1,"5.028571e+02","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m6","C3",20477,0.11,1,"5.028571e+02","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m6","D3",20479,0,0,"0.000000e+00","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m7","A4",20472,0.23,2,"1.051429e+03","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","m7","B4",20477,0.11,1,"5.028571e+02","Fail"
"Stx2-m1-m7-hwu","M01KC222500164","POS","C4",20475,1474.48,9646,"          NA","Pass"
"Stx2-m1-m7-hwu","M01KC222500164","NTC","D4",20473,0,0,"          NA","Fail"
