"Run","Plate","Name","Well","Total","Conc..cp.uL","Positives","finalcon.cp.L","QualityCheck"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","","Average",20454.63,99.8,768,"          NA","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m1","A1",20447,0.34,3,"1.554286e+03","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m1","B1",20479,0.79,7,"3.611429e+03","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m2","C1",20480,12.24,108,"5.595429e+04","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m2","D1",20471,13.04,115,"5.961143e+04","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m3","A2",20480,203.31,1722,"9.294171e+05","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m3","B2",20480,186.71,1587,"8.535314e+05","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m4","C2",20480,3.51,31,"1.604571e+04","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m4","D2",20475,5.21,46,"2.381714e+04","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m5","A3",20475,19.98,176,"9.133714e+04","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m5","B3",20480,17.81,157,"8.141714e+04","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m6","C3",20479,32.1,282,"1.467429e+05","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m6","D3",20473,37.04,325,"1.693257e+05","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m7","A4",20480,27.86,245,"1.273600e+05","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","m7","B4",20480,26.49,233,"1.210971e+05","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","POS","C4",20480,1010.44,7244,"          NA","Pass"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","M01KC222500208","NTC","D4",20135,0,0,"          NA","Fail"
