Sample Designation,Sample Location,Sampling Date,SARS N1 (cp/L),SARS N2 (cp/L),PMMoV (cp/L),Monkeypox (cp/L),Name,N1,N2,PMMoV,M.pox,Vol.ml,,,,,,,
131,French Quarter,9/29/22,8.24E+05,1.02E+06,2.86E+07,1554.285714,M1,4.10E+05,4.58E+05,2.34E+07,1.75E+03,35,,,,,,,
24,French Quarter,8/30/22,3.22E+05,3.37E+05,1.71E+07,1942.857143,M1,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
63,Pump station A,9/4/22,2.84E+05,2.58E+05,2.44E+07,NA,M1,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
4,East Marigny,8/23/22,2.11E+05,2.16E+05,2.33E+07,NA,M1,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
5,French Quarter,8/23/22,1.72E+05,1.56E+05,2.57E+07,NA,M2,9.68E+04,9.15E+04,4.15E+07,#DIV/0!,35,,,,,,,
3,East Bywater,8/23/22,7.73E+04,6.95E+04,5.67E+07,NA,M2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
34,West Bywater,9/1/22,7.29E+04,8.01E+04,5.92E+07,NA,M2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
153,East Marigny,10/6/22,6.51E+04,6.02E+04,2.45E+07,NA,M2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
140,French Quarter,10/4/22,6.01E+04,6.37E+04,5.99E+07,NA,M3,5.30E+04,5.13E+04,4.45E+07,#DIV/0!,35,,,,,,,
1,Pump station A,8/23/22,5.37E+04,5.76E+04,4.40E+07,NA,M3,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
86,French Quarter,9/13/22,5.01E+04,3.16E+04,7.09E+06,NA,M3,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
126,East Marigny,9/27/22,4.80E+04,5.22E+04,6.70E+07,NA,M3,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
67,East Bywater,9/5/22,4.60E+04,4.96E+04,5.34E+07,NA,M4,4.13E+04,3.07E+04,3.58E+07,#DIV/0!,35,,,,,,,
2a,E. bank WWTP ,8/17/22,4.27E+04,3.37E+04,2.20E+07,NA,M4,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
6a,East bank WWTP 8.18.22,8/18/22,3.92E+04,1.55E+03,2.20E+07,NA,M4,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
49,East Bywater,9/3/22,3.71E+04,3.81E+04,4.56E+07,NA,M4,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
4a,French Quaterr,8/18/22,3.68E+04,3.08E+04,5.41E+06,NA,M5,3.19E+04,3.10E+04,1.97E+07,#DIV/0!,35,,,,,,,
1a,E. Bywater,8/18/22,3.34E+04,3.81E+04,3.13E+07,NA,M5,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
167,French Quarter,10/13/22,3.05E+04,2.67E+04,1.38E+07,NA,M5,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
157,East Bywater,10/11/22,2.70E+04,2.83E+04,2.84E+07,NA,M5,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
161,Pump station A,10/11/22,2.69E+04,2.90E+04,2.45E+07,NA,M6,2.52E+04,2.58E+04,2.14E+07,#DIV/0!,35,,,,,,,
125,Pump station A,9/27/22,2.59E+04,3.10E+04,2.04E+07,NA,M6,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
166,East Bywater,10/13/22,2.48E+04,1.81E+04,1.12E+07,NA,M6,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
68,French Quarter,9/5/22,2.33E+04,2.49E+04,2.95E+07,NA,M6,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
71,Pump station A,9/5/22,2.24E+04,3.00E+04,4.10E+07,NA,M7,2.02E+04,2.31E+04,3.38E+07,#DIV/0!,35,,,,,,,
170,Pump station A,10/13/22,2.11E+04,2.27E+04,4.45E+07,NA,M7,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
2,East Bank WWTP,8/23/22,1.92E+04,1.87E+04,2.13E+07,NA,M7,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
6,Pump Station,8/23/22,1.82E+04,2.10E+04,2.83E+07,NA,M7,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
