"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1 (16)","","Average","20475.75","FAM","Target 1","925.81","452.42","48.87","5.65","6477"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m1","A1","20479","FAM","Target 1","713.78","","","18.80","5434"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m1","B1","20469","FAM","Target 1","766.19","","","19.61","5768"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m2","C1","20479","FAM","Target 1","1071.28","","","24.05","7587"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m2","D1","20474","FAM","Target 1","1034.37","","","23.53","7378"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m3","A2","20471","FAM","Target 1","1410.57","","","28.75","9341"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m3","B2","20473","FAM","Target 1","1455.52","","","29.37","9556"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m4","C2","20477","FAM","Target 1","1514.16","","","30.16","9831"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m4","D2","20474","FAM","Target 1","1460.52","","","29.43","9580"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m5","A3","20470","FAM","Target 1","793.87","","","20.03","5943"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m5","B3","20480","FAM","Target 1","768.23","","","19.63","5784"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m6","C3","20479","FAM","Target 1","587.73","","","16.80","4592"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m6","D3","20478","FAM","Target 1","586.45","","","16.78","4583"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m7","A4","20478","FAM","Target 1","1272.32","","","26.85","8659"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","m7","B4","20479","FAM","Target 1","1264.61","","","26.74","8620"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","POS","C4","20477","FAM","Target 1","113.29","","","6.88","978"
"Crassphage56-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500166","Group 1","NTC","D4","20475","FAM","Target 1","0","","","0","0"
