"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1 (16)","","Average","20472.29","VIC","Target 1","71.06","235.13","330.90","1.40","527"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m1","A1","NaN","VIC","Target 1","NaN","","","NaN",""
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m1","B1","20457","VIC","Target 1","27.20","","","3.24","239"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m2","C1","20479","VIC","Target 1","0.68","","","0.37","6"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m2","D1","20474","VIC","Target 1","0.79","","","0.41","7"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m3","A2","20480","VIC","Target 1","3.05","","","0.96","27"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m3","B2","20480","VIC","Target 1","3.51","","","1.04","31"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m4","C2","20480","VIC","Target 1","0.90","","","0.45","8"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m4","D2","20470","VIC","Target 1","1.13","","","0.52","10"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m5","A3","NaN","VIC","Target 1","NaN","","","NaN",""
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m5","B3","20448","VIC","Target 1","27.33","","","3.25","240"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m6","C3","20480","VIC","Target 1","4.75","","","1.24","42"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m6","D3","20470","VIC","Target 1","4.41","","","1.19","39"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m7","A4","20460","VIC","Target 1","1.02","","","0.49","9"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","m7","B4","20480","VIC","Target 1","1.81","","","0.70","16"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","POS","C4","20480","VIC","Target 1","918.21","","","21.86","6706"
"Enterovirus-m1-m7-hwu","11/23/2022","Absolute Q YYMM0023","M01KC222500203","Group 1","NTC","D4","20474","VIC","Target 1","0","","","0","0"
