"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1 (16)","","Average","20474.94","FAM","Target 1","9.57","31.70","331.32","0.49","83"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m1","A1","20474","FAM","Target 1","0.45","","","0.28","4"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m1","B1","20476","FAM","Target 1","0.90","","","0.45","8"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m2","C1","20478","FAM","Target 1","0.45","","","0.28","4"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m2","D1","20476","FAM","Target 1","0.34","","","0.23","3"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m3","A2","20473","FAM","Target 1","3.73","","","1.08","33"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m3","B2","20476","FAM","Target 1","3.96","","","1.12","35"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m4","C2","20479","FAM","Target 1","1.92","","","0.73","17"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m4","D2","20470","FAM","Target 1","1.81","","","0.70","16"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m5","A3","20471","FAM","Target 1","0.57","","","0.33","5"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m5","B3","20479","FAM","Target 1","0.68","","","0.37","6"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m6","C3","20476","FAM","Target 1","1.92","","","0.73","17"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m6","D3","20473","FAM","Target 1","1.02","","","0.49","9"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m7","A4","20471","FAM","Target 1","1.36","","","0.59","12"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","m7","B4","20480","FAM","Target 1","1.70","","","0.67","15"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","POS","C4","20475","FAM","Target 1","132.25","","","7.47","1137"
"HAdV-JTX-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500224","Group 1","NTC","D4","20472","FAM","Target 1","0","","","0","0"
