"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1 (16)","","Average","20475.54","FAM","Target 1","80.08","277.37","346.37","1.48","571"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m1","A1","20474","FAM","Target 1","0","","","0","0"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m1","B1","20480","FAM","Target 1","0","","","0","0"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m2","C1","20478","FAM","Target 1","0","","","0","0"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m2","D1","20469","FAM","Target 1","0","","","0","0"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m3","A2","NaN","FAM","Target 1","NaN","","","NaN",""
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m3","B2","20480","FAM","Target 1","0","","","0","0"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m4","C2","20479","FAM","Target 1","0","","","0","0"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m4","D2","20469","FAM","Target 1","0","","","0","0"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m5","A3","NaN","FAM","Target 1","NaN","","","NaN",""
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m5","B3","20480","FAM","Target 1","0","","","0","0"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m6","C3","20480","FAM","Target 1","0","","","0","0"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m6","D3","20469","FAM","Target 1","0.11","","","0.10","1"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m7","A4","NaN","FAM","Target 1","NaN","","","NaN",""
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","m7","B4","20480","FAM","Target 1","0","","","0","0"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","POS","C4","20477","FAM","Target 1","1040.91","","","23.62","7416"
"MS2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500204","Group 1","NTC","D4","20467","FAM","Target 1","0","","","0","0"
