"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1 (16)","","Average","20454.63","FAM","Target 1","99.80","242.74","243.22","1.75","768"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m1","A1","20447","FAM","Target 1","0.34","","","0.23","3"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m1","B1","20479","FAM","Target 1","0.79","","","0.41","7"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m2","C1","20480","FAM","Target 1","12.24","","","2.10","108"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m2","D1","20471","FAM","Target 1","13.04","","","2.18","115"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m3","A2","20480","FAM","Target 1","203.31","","","9.38","1722"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m3","B2","20480","FAM","Target 1","186.71","","","8.97","1587"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m4","C2","20480","FAM","Target 1","3.51","","","1.04","31"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m4","D2","20475","FAM","Target 1","5.21","","","1.31","46"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m5","A3","20475","FAM","Target 1","19.98","","","2.74","176"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m5","B3","20480","FAM","Target 1","17.81","","","2.58","157"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m6","C3","20479","FAM","Target 1","32.10","","","3.54","282"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m6","D3","20473","FAM","Target 1","37.04","","","3.82","325"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m7","A4","20480","FAM","Target 1","27.86","","","3.28","245"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","m7","B4","20480","FAM","Target 1","26.49","","","3.19","233"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","POS","C4","20480","FAM","Target 1","1010.44","","","23.18","7244"
"Norovirus.M1toM7.22NOV22.kb.pooled.raw","11/23/2022","Absolute Q YYMM0023","M01KC222500208","Group 1","NTC","D4","20135","FAM","Target 1","0","","","0","0"
