"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1 (16)","","Average","20468.69","FAM","Target 1","63.62","246.11","386.84","1.45","456"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m1","A1","20477","FAM","Target 1","0","","","0","0"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m1","B1","20458","FAM","Target 1","0","","","0","0"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m2","C1","20477","FAM","Target 1","0","","","0","0"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m2","D1","20441","FAM","Target 1","0.11","","","0.10","1"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m3","A2","20477","FAM","Target 1","0","","","0","0"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m3","B2","20472","FAM","Target 1","0.11","","","0.10","1"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m4","C2","20477","FAM","Target 1","0","","","0","0"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m4","D2","20447","FAM","Target 1","0.11","","","0.10","1"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m5","A3","20473","FAM","Target 1","0.34","","","0.23","3"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m5","B3","20478","FAM","Target 1","0.34","","","0.23","3"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m6","C3","20472","FAM","Target 1","0","","","0","0"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m6","D3","20468","FAM","Target 1","0","","","0","0"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m7","A4","20451","FAM","Target 1","0.11","","","0.10","1"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","m7","B4","20475","FAM","Target 1","0","","","0","0"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","POS","C4","20479","FAM","Target 1","1016.80","","","23.28","7280"
"Salmonella","11/24/2022","Absolute Q YYMM0023","M01KC222500182","Group 1","NTC","D4","20477","FAM","Target 1","0","","","0","0"
