"Run","Date","Instrument","Plate","Group","Name","Well","Total","Dye","Target","Conc. cp/uL","SD","CV%","95%CI","Positives"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1 (16)","","Average","20471.19","FAM","Target 1","92.22","356.90","387.01","1.85","603"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m1","A1","20473","FAM","Target 1","0","","","0","0"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m1","B1","20467","FAM","Target 1","0.11","","","0.10","1"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m2","C1","20474","FAM","Target 1","0","","","0","0"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m2","D1","20474","FAM","Target 1","0","","","0","0"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m3","A2","20426","FAM","Target 1","0.11","","","0.10","1"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m3","B2","20474","FAM","Target 1","0","","","0","0"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m4","C2","20476","FAM","Target 1","0","","","0","0"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m4","D2","20470","FAM","Target 1","0","","","0","0"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m5","A3","20475","FAM","Target 1","0.23","","","0.17","2"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m5","B3","20477","FAM","Target 1","0.11","","","0.10","1"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m6","C3","20477","FAM","Target 1","0.11","","","0.10","1"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m6","D3","20479","FAM","Target 1","0","","","0","0"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m7","A4","20472","FAM","Target 1","0.23","","","0.17","2"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","m7","B4","20477","FAM","Target 1","0.11","","","0.10","1"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","POS","C4","20475","FAM","Target 1","1474.48","","","29.62","9646"
"Stx2-m1-m7-hwu","11/24/2022","Absolute Q YYMM0023","M01KC222500164","Group 1","NTC","D4","20473","FAM","Target 1","0","","","0","0"
